"X","seas","week","temp","humd","wspd","ou","sprv","dseq","len","qtr","min","ptso","ptsd","ptdiff","timo","timd","dwn","ytg","yfog","dist","good","ptsv","ptsh","iced","id","away","X3COM.Park","AT.T.Stadium","Adelphia.Coliseum","Alltel.Stadium","Arrowhead.Stadium","Azteca.Stadium","Bank.of.America.Stadium","Candlestick.Park","Cardinals.Stadium","CenturyLink.Field","Cleveland.Browns.Stadium","Cowboys.Stadium","Dolphins.Stadium","Edward.Jones.Dome","Ericsson.Stadium","Everbank.Field","FedEx.Field","FirstEnergy.Stadium","Ford.Field","Foxboro.Stadium","Georgia.Dome","Giants.Stadium","Gillette.Stadium","Heinz.Field","Husky.Stadium","Invesco.Field.at.Mile.High","Jacksonville.Municipal.Stadium","LP.Field","Lambeau.Field","Land.Shark.Stadium","Lincoln.Financial.Field","Louisiana.Superdome","Lucas.Oil.Stadium","M...T.Bank.Stadium","M.T.Bank.Stadium","Mall.of.America.Field.at.HHH.Metrodome","McAfee.Coliseum","Memorial.Stadium","Mercedes.Benz.Superdome","MetLife.Stadium","Metrodome","Mile.High.Stadium","Monster.Park","Network.Associates.Coliseum","New.Meadowlands.Stadium","O.co.Coliseum","Oakland.Alameda.County.Coliseum","PSINet.Stadium","Paul.Brown.Stadium","Pontiac.Silverdome","Pro.Player.Stadium","Qualcomm.Stadium","Qwest.Field","RCA.Dome","Ralph.Wilson.Stadium","Ravens.Stadium","Raymond.James.Stadium","Reliant.Stadium","Rogers.Centre","Seahawks.Stadium","Snapdragon.Stadium","Soldier.Field","Sports.Authority.Field.at.Mile.High","Sun.Devil.Stadium","SunLife.Stadium","TCF.Bank.Stadium","Texas.Stadium","The.Meadowlands","Three.Rivers.Stadium","Trans.World.Dome","University.of.Phoenix.Stadium","Veterans.Stadium","Wembley.Stadium","Clear","Cloudy","Cold","Dome","Fair","Foggy","Hazy","Rain","Snow","Sunny","Thunderstorms","Windy","grass","turf","FRI","MN","SAT","SB","SN","SUN","THU","TN","WED","precip","cold","warm","windy","mileHigh","humid","kicker"
0,2000,2,80,84,13,38,9,5,3,5,12,14,14,0,1,3,1,10,82,36,1,14,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,"AD-0800"
1,2000,5,72,84,5,38,4,2,3,2,0,21,0,21,1,2,1,10,72,46,0,14,28,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,"AD-0800"
2,2000,7,74,52,6,40.5,7,12,3,4,3,24,6,18,1,0,4,6,90,28,1,13,27,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"AD-0800"
3,2000,7,74,52,6,40.5,7,6,3,2,10,14,3,11,3,2,4,8,92,26,1,13,27,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"AD-0800"
4,2000,7,74,52,6,40.5,7,5,3,3,4,24,3,21,2,3,4,2,74,44,0,13,27,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"AD-0800"
5,2000,17,29,35,10,38,14,6,3,3,0,28,0,28,3,3,4,3,97,21,1,0,31,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"AD-0800"
6,2000,19,48,42,6,33,6,8,9,3,8,7,7,0,3,3,4,3,97,21,1,24,10,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"AD-0800"
7,2000,19,48,42,6,33,6,12,8,2,2,7,7,0,2,3,4,9,73,45,0,24,10,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"AD-0800"
8,2000,19,48,42,6,33,6,7,13,4,12,10,10,0,3,3,4,1,81,37,0,24,10,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"AD-0800"
9,2000,19,48,42,6,33,6,6,4,2,0,7,7,0,1,3,4,8,87,31,0,24,10,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"AD-0800"
