kicker,seas,season_score,season_attempts
Neil Rackers,2005,19.68440335,42
Sebastian Janikowski,2009,18.92611301,29
Sebastian Janikowski,2011,17.37136959,35
Mike Vanderjagt,2003,16.59582571,40
Steven Hauschka,2013,15.78198519,43
Justin Tucker,2013,15.72655485,41
Stephen Gostkowski,2013,15.59108211,42
Rob Bironas,2011,15.34024238,32
Phil Dawson,2013,15.16133225,42
Blair Walsh,2012,14.57446059,39
Jason Hanson,2008,14.11635249,22
Connor Barth,2011,13.89705046,28
Dan Bailey,2013,13.71191205,30
Adam Vinatieri,2004,13.54097194,38
Justin Tucker,2012,13.33748085,37
Matt Prater,2013,13.01765184,32
Adam Vinatieri,2013,12.8232117,43
Josh Scobee,2011,12.70257972,25
Phil Dawson,2012,12.6909128,31
Sebastian Janikowski,2012,12.38621931,34
Joe Nedney,2005,11.90665953,28
Jeff Wilkins,2003,11.3117239,48
Josh Scobee,2013,11.28802758,25
Jason Hanson,2012,11.25486095,36
NF-0300,2013,11.1491142,36
Dan Carpenter,2013,10.63625526,36
Dan Bailey,2012,10.57991128,31
Adam Vinatieri,2010,10.5379993,31
David Akers,2004,10.29291087,36
John Kasay,2006,10.2643762,27
Robbie Gould,2006,10.12601306,42
Kai Forbath,2012,10.07279075,18
Ryan Longwell,2000,10.05592841,38
Adam Vinatieri,2006,10.05330686,43
SS-3100,2013,9.946269571,32
JH-0900,2003,9.83792464,23
JF-0900,2010,9.800862392,27
Rob Bironas,2007,9.762014726,42
Neil Rackers,2010,9.720868861,30
Mike Hollis,2000,9.663046364,26
Mason Crosby,2013,9.331174631,39
Connor Barth,2012,9.312547027,33
Rob Bironas,2010,9.308305617,26
John Kasay,2008,9.211456344,31
Rob Bironas,2009,9.181075686,32
JR-1100,2008,9.159592487,36
Graham Gano,2013,9.115519637,28
JF-0900,2012,9.02572842,28
Adam Vinatieri,2002,9.004118062,30
Robbie Gould,2013,8.784026183,29
SS-3100,2012,8.659552033,31
Jason Elam,2001,8.554914641,36
NF-0300,2008,8.517505068,22
Gary Anderson,2000,8.362552985,25
Rob Bironas,2008,8.313954262,35
Sebastian Janikowski,2003,8.274769789,25
Robbie Gould,2011,8.247223455,32
Jason Elam,2006,8.237517875,29
Josh Brown,2008,8.10609496,36
David Akers,2011,8.036260608,56
Jason Elam,2008,7.935337656,32
JF-0900,2007,7.915976625,23
NN-0200,2013,7.63618019,41
John Kasay,2010,7.584280979,29
Shayne Graham,2012,7.467474497,44
MP-2100,2010,7.387762127,18
PD-0200,2011,7.346010186,29
Kris Brown,2007,7.11168776,29
Matt Stover,2000,7.097576536,47
Greg Zuerlein,2013,7.026261877,28
Matt Stover,2006,7.019051526,32
Robbie Gould,2007,6.923543574,36
Sebastian Janikowski,2004,6.803996297,28
Kris Brown,2008,6.787125705,33
Ryan Succop,2009,6.779536184,29
Josh Scobee,2012,6.731830361,28
Jeff Wilkins,2000,6.700021189,17
Dan Carpenter,2009,6.459537626,28
Neil Rackers,2008,6.43727805,34
Rian Lindell,2006,6.400866658,25
David Akers,2009,6.220336567,37
Robbie Gould,2008,6.141498677,29
NN-0200,2012,6.085692322,20
Jeff Wilkins,2005,6.020065078,31
Matt Bryant,2012,5.979501152,42
JR-1100,2007,5.874018453,26
Steven Hauschka,2012,5.822587304,30
Jason Elam,2004,5.812831471,35
Matt Bryant,2013,5.786971648,27
JN-0600,2008,5.760417185,33
Ryan Longwell,2009,5.710614846,30
Mike Vanderjagt,2000,5.646379697,31
Ryan Longwell,2003,5.640848573,30
John Kasay,2003,5.614018761,49
Dan Bailey,2011,5.584888588,37
Jason Elam,2007,5.58200882,31
Matt Stover,2004,5.559619806,32
Rian Lindell,2000,5.52060648,17
Olindo Mare,2000,5.461364831,33
PD-0200,2009,5.444108702,19
John Carney,2002,5.354562702,36
JH-0900,2006,5.354148267,33
Dan Carpenter,2011,5.325740945,34
Robbie Gould,2009,5.260067679,28
JN-0600,2000,5.239084636,38
Mason Crosby,2011,5.236551045,30
Shayne Graham,2003,5.219138273,25
PD-0200,2005,5.183485331,29
Josh Brown,2004,5.165407444,27
JF-0900,2013,5.156375355,36
Ryan Longwell,2007,5.077215569,24
Matt Bryant,2011,4.980017545,29
SG-0800,2008,4.959545462,40
Blair Walsh,2013,4.947048341,30
David Akers,2001,4.925197483,37
Olindo Mare,2008,4.88502022,27
John Carney,2006,4.667543992,27
Greg Zuerlein,2012,4.666118246,31
PE-0100,2001,4.641153227,32
Dan Carpenter,2008,4.504955071,26
Matt Bryant,2010,4.502396064,31
BC-3000,2010,4.444898969,33
Nate Kaeding,2006,4.401808859,30
Ryan Longwell,2008,4.287091603,34
PD-0200,2008,4.272024199,36
SS-3100,2010,4.242026598,20
JN-0600,2007,4.238106253,19
Sebastian Janikowski,2010,4.205795906,41
Alex Henery,2012,4.115254434,31
Shayne Graham,2007,4.041133835,34
Jeff Wilkins,2006,4.012881229,37
JR-1100,2002,3.946441261,24
PD-0200,2007,3.94330628,30
Martin Gramatica,2000,3.930961613,35
Rian Lindell,2007,3.922809031,27
Shayne Graham,2004,3.870274985,31
Dan Carpenter,2012,3.85838865,27
Jason Elam,2003,3.855246939,33
Rob Bironas,2013,3.816142884,29
Josh Brown,2007,3.81012086,38
Josh Brown,2013,3.769192894,26
BC-3000,2013,3.734596426,26
John Kasay,2007,3.720150829,28
John Carney,2001,3.674559369,31
Matt Stover,2005,3.59148588,34
Rian Lindell,2012,3.581763526,24
Josh Scobee,2006,3.554340545,32
Mike Nugent,2006,3.522885747,30
MP-2100,2009,3.427663346,35
Olindo Mare,2009,3.318652534,26
Matt Bryant,2005,3.290062249,26
John Carney,2008,3.24199745,43
Adam Vinatieri,2011,3.197361951,27
Nate Kaeding,2005,3.156863571,24
Sebastian Janikowski,2001,3.155026605,33
John Kasay,2004,3.128890432,22
Adam Vinatieri,2001,3.125066623,37
JR-1100,2009,3.054699862,31
John Kasay,2001,3.037154956,28
PE-0100,2002,3.029212387,28
JR-1100,2004,2.960752311,37
Gary Anderson,2003,2.952414504,34
Neil Rackers,2011,2.925980935,42
Mike Nugent,2013,2.897595623,23
Olindo Mare,2001,2.870162328,22
Alex Henery,2011,2.85302273,27
Garrett Hartley,2009,2.830478192,16
Matt Stover,2003,2.734383849,39
Nate Kaeding,2010,2.72849098,28
Robbie Gould,2012,2.6862893,25
Ryan Longwell,2004,2.621806385,30
Ryan Longwell,2010,2.619174332,18
Shayne Graham,2008,2.592247765,24
DB-3900,2003,2.492731757,32
PD-0200,2001,2.482083266,25
Martin Gramatica,2002,2.465460989,45
David Akers,2008,2.464710163,50
Sebastian Janikowski,2008,2.445260077,30
Mason Crosby,2007,2.409131695,41
Neil Rackers,2004,2.330285837,29
Steven Hauschka,2011,2.327423933,30
JH-0500,2005,2.295974227,15
Kris Brown,2003,2.200655706,22
DR-0600,2010,2.153368971,16
David Akers,2003,2.132537625,33
Rob Bironas,2005,2.120458459,28
Sebastian Janikowski,2007,2.076153359,32
JH-0900,2007,2.069368263,35
Morten Andersen,2002,2.06876824,26
Todd Peterson,2005,2.045568572,25
Neil Rackers,2002,2.018300658,18
Matt Bryant,2007,1.973595185,33
Rian Lindell,2009,1.971054148,33
Kai Forbath,2013,1.970386864,22
JN-0600,2009,1.9589747,21
NN-0200,2011,1.898947379,34
John Kasay,2005,1.895866614,40
Josh Scobee,2007,1.791735865,17
Robbie Gould,2010,1.768170684,30
Josh Scobee,2010,1.764003241,28
Shayne Graham,2006,1.681535941,30
Josh Brown,2009,1.635924771,24
SG-0800,2011,1.628018485,38
Neil Rackers,2009,1.625737729,20
Nate Kaeding,2009,1.572652727,38
Nate Kaeding,2008,1.571550994,34
Morten Andersen,2001,1.497195804,28
Ryan Succop,2012,1.46142025,34
SG-0800,2012,1.450114985,39
Matt Stover,2002,1.44327963,25
NF-0300,2007,1.388446582,32
Matt Stover,2007,1.37142231,32
David Akers,2002,1.317199166,38
Morten Andersen,2007,1.312748578,28
Shayne Graham,2005,1.302343822,33
PD-0200,2003,1.244275648,21
JR-1100,2005,1.243644308,32
Mike Nugent,2011,1.22731541,40
BG-1300,2001,1.173315351,19
Mike Vanderjagt,2001,1.17070966,34
Mike Vanderjagt,2005,1.064182552,27
Todd Peterson,2004,1.059855992,22
JN-0600,2006,1.018660365,34
Nate Kaeding,2007,0.965255379,34
Mason Crosby,2008,0.939156388,33
Connor Barth,2010,0.927280542,28
Matt Bryant,2008,0.796245554,38
Josh Brown,2006,0.767983614,34
John Kasay,2011,0.692616772,36
Rian Lindell,2011,0.640214683,15
Ryan Succop,2011,0.625913229,30
Adam Vinatieri,2012,0.571669058,37
Josh Brown,2010,0.569104623,39
Rian Lindell,2013,0.473246719,29
Ryan Succop,2013,0.469643509,31
Caleb Sturgis,2013,0.428104531,34
Rob Bironas,2012,0.325010448,31
JF-0900,2005,0.312194611,42
Jeff Wilkins,2004,0.274982233,27
Mike Nugent,2012,0.27179072,23
Adam Vinatieri,2008,0.177396599,26
Lawrence Tynes,2005,0.066742874,33
JF-0900,2009,-0.065018063,41
David Akers,2010,-0.112707082,41
Olindo Mare,2005,-0.191442047,30
John Kasay,2009,-0.220106366,27
Lawrence Tynes,2012,-0.242306744,39
Adam Vinatieri,2000,-0.262505893,33
JH-0900,2011,-0.389390717,29
John Carney,2004,-0.438542596,27
PD-0200,2004,-0.463323032,29
Morten Andersen,2006,-0.479343627,23
PD-0200,2010,-0.554358965,28
PE-0100,2000,-0.621480464,27
JF-0900,2008,-0.644960331,28
Randy Bullock,2013,-0.736580213,35
BC-3000,2003,-0.891258057,30
Connor Barth,2009,-0.914759945,19
DB-3900,2000,-0.922964762,31
Kris Brown,2006,-0.928471598,25
Morten Andersen,2000,-0.968317905,31
Alex Henery,2013,-0.973318595,30
JH-0500,2003,-1.09480967,33
JF-0900,2006,-1.098686686,29
Morten Andersen,2003,-1.114379653,22
Matt Stover,2009,-1.174431991,18
JH-0900,2004,-1.331452932,28
Rian Lindell,2005,-1.394450081,35
Adam Vinatieri,2005,-1.407556343,28
Gary Anderson,2001,-1.424266615,18
Martin Gramatica,2001,-1.42635743,32
Lawrence Tynes,2010,-1.432784109,23
Todd Peterson,2003,-1.437224438,15
Rian Lindell,2008,-1.477797972,38
Mason Crosby,2010,-1.49415024,32
Garrett Hartley,2012,-1.512252268,22
SS-3100,2007,-1.548479258,36
Olindo Mare,2004,-1.561780861,16
JH-0900,2002,-1.601003272,28
Kris Brown,2002,-1.653264984,24
Kris Brown,2000,-1.671918877,30
Ryan Longwell,2006,-1.728495294,25
JF-0900,2011,-1.750495056,24
Mike Nugent,2010,-1.795072277,19
MP-2100,2011,-1.804818015,30
JN-0600,2002,-1.811748685,35
SG-0800,2009,-1.815636683,32
Matt Stover,2001,-1.879354329,39
Josh Scobee,2008,-1.957355301,25
Matt Bryant,2006,-1.976598077,22
BC-2300,2001,-2.043967508,33
Rian Lindell,2010,-2.100129159,21
Sebastian Janikowski,2002,-2.113365334,40
Olindo Mare,2010,-2.121084074,33
Garrett Hartley,2010,-2.24161369,28
Jason Elam,2005,-2.243124358,35
David Akers,2000,-2.281681814,36
